,model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
195,RexNet,15.0,1.0,4.0,1.0,32.0,1e-06,8.0,0.4624999999999999,0.5597826086956522,0.4682539682539682,0.4588622291021672,0.7308288851509923,0.0615384615384615,0.4351851851851852,0.25,0.0350877192982456,0.0,4499.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010240_federated_metrics.csv,
196,ResNet50,10.0,0.5,4.0,2.0,16.0,1e-09,0.0,0.5170663728286232,0.4891304347826086,0.6884920634920635,0.4256410256410256,0.7029906828766284,0.6666666666666666,0.5370370370370371,0.5376344086021505,0.8771929824561403,0.0,22386.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010243_federated_metrics.csv,
197,ResNext50,10.0,0.5,4.0,2.0,32.0,1e-07,9.0,0.6653816526610643,0.6413043478260869,0.878968253968254,0.536861559139785,0.6637360738671345,0.6923076923076923,0.5555555555555556,0.5454545454545454,0.9473684210526316,0.0,26243.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010259_federated_metrics.csv,
198,RexNet,15.0,0.5,4.0,2.0,16.0,1e-05,14.0,0.903917028917029,0.9184782608695652,0.9444444444444444,0.8673586139261197,0.3034225828621698,0.32,0.3703703703703703,0.3720930232558139,0.2807017543859649,13.0,10950.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010323_federated_metrics.csv,
199,ResNet50,10.0,0.5,4.0,2.0,32.0,1e-09,1.0,0.1561872909698996,0.5760869565217391,0.0952380952380952,0.5,0.6484087686175886,0.3191489361702128,0.4074074074074074,0.4054054054054054,0.2631578947368421,0.0,6622.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010344_federated_metrics.csv,
200,RexNet,15.0,0.5,4.0,2.0,32.0,1e-05,14.0,0.8748015873015874,0.8967391304347826,0.8928571428571429,0.861365758424582,0.3674304987425389,0.5517241379310345,0.5185185185185185,0.5423728813559322,0.5614035087719298,5.0,13150.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010415_federated_metrics.csv,
201,RexNet,15.0,0.5,4.0,2.0,16.0,1e-06,12.0,0.4817192192192192,0.6032608695652174,0.4702380952380952,0.5069444444444444,0.6711773438298184,0.4727272727272727,0.4629629629629629,0.490566037735849,0.4561403508771929,0.0,9178.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010455_federated_metrics.csv,
202,ResNext50,10.0,0.5,4.0,2.0,16.0,1e-09,7.0,0.4664262820512821,0.6521739130434783,0.3730158730158729,0.6401515151515151,0.6465074471805407,0.3777777777777777,0.4814814814814814,0.5151515151515151,0.2982456140350877,0.0,25195.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010520_federated_metrics.csv,
203,RexNet,15.0,0.5,4.0,2.0,32.0,1e-06,13.0,0.4433873005979268,0.5815217391304348,0.4265873015873016,0.4698946886446886,0.7687373854543851,0.608,0.5462962962962963,0.5588235294117647,0.6666666666666666,3.0,14003.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010549_federated_metrics.csv,
204,ResNet50,10.0,1.0,4.0,2.0,16.0,1e-05,9.0,1.0,1.0,1.0,1.0,0.0010956364012204,0.125,0.4814814814814814,0.5714285714285714,0.0701754385964912,9.0,25364.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08010607_federated_metrics.csv,
