model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
ResNet18,5,1.0,4,1,32,0.001,4,0.9442146089204914,0.9565217391304348,0.9087301587301588,0.984375,0.1468852733707298,0.273972602739726,0.5092592592592593,0.625,0.175438596491228,3,1633,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210036_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,0.0001,2,1.0,1.0,1.0,1.0,0.0057826258075099,0.3013698630136986,0.5277777777777778,0.6875,0.1929824561403508,3,1608,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210051_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,0.0001,3,1.0,1.0,1.0,1.0,0.0022164317772916,0.2058823529411764,0.5,0.6363636363636364,0.1228070175438596,0,1603,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210106_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-05,4,0.9640323091542604,0.9728260869565216,0.9325396825396826,1.0,0.1046390872772621,0.2535211267605634,0.5092592592592593,0.6428571428571429,0.1578947368421052,2,1618,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210121_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-05,4,0.9421347622567136,0.9565217391304348,0.9186507936507936,0.9694444444444446,0.1563725718499525,0.3376623376623376,0.5277777777777778,0.65,0.2280701754385964,0,1628,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210136_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-06,4,0.6495238095238095,0.625,0.8551587301587301,0.525600783277716,0.6184348399224489,0.5611510791366906,0.4351851851851852,0.4756097560975609,0.6842105263157895,2,1643,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210152_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-06,4,0.6982190860215053,0.7989130434782608,0.5753968253968254,0.8958333333333334,0.506898820400238,0.2727272727272727,0.5555555555555556,1.0,0.1578947368421052,0,1596,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210207_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-07,0,0.3638191763191763,0.4510869565217391,0.3908730158730158,0.3475378787878787,0.7848550683778265,0.7256637168141593,0.7129629629629629,0.7321428571428571,0.7192982456140351,2,1648,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210222_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-07,1,0.5032275132275132,0.4347826086956521,0.7142857142857143,0.3919310218794111,0.8291850770297258,0.3132530120481928,0.4722222222222222,0.5,0.2280701754385964,0,1591,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210237_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-08,2,0.5987224157955865,0.6141304347826086,0.7083333333333333,0.5193236714975845,0.6785163756297983,0.6521739130434783,0.5555555555555556,0.5555555555555556,0.7894736842105263,0,1627,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210253_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-08,4,0.062037037037037,0.5489130434782609,0.0376984126984126,0.2083333333333333,0.8015739529029182,0.0,0.4722222222222222,0.0,0.0,0,1624,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210308_federated_metrics.csv,
ResNet18,5,1.0,4,1,16,1e-09,0,0.5313018107578978,0.483695652173913,0.7182539682539683,0.4217687863057718,0.7786438076392465,0.5039370078740157,0.4166666666666667,0.4571428571428571,0.5614035087719298,0,1630,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210323_federated_metrics.csv,
ResNet18,5,1.0,4,1,32,1e-09,1,0.5564514511325395,0.4565217391304347,0.8392857142857143,0.4168915879442195,0.8295654356479645,0.64,0.5,0.5161290322580645,0.8421052631578947,0,1602,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210338_federated_metrics.csv,
ResNet18,5,0.5,8,1,16,0.01,1,0.3096310715609937,0.4402173913043478,0.6272321428571428,0.4781785243741765,31612903087028.742,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,1,3088,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210407_federated_metrics.csv,
ResNet18,5,0.5,8,1,32,0.01,2,0.4548691667990889,0.3423913043478261,0.921875,0.3233695652173913,12619498962433.465,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,2,2445,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210430_federated_metrics.csv,
ResNet18,5,0.5,8,1,16,0.001,3,0.6641934454434455,0.7934782608695651,0.7001488095238095,0.7632665945165945,0.8294216891568479,0.4301075268817204,0.5092592592592593,0.5555555555555556,0.3508771929824561,0,2853,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210456_federated_metrics.csv,
ResNet18,5,0.5,8,1,32,0.001,2,0.9008241758241756,0.9402173913043478,0.8660714285714286,0.9479166666666669,0.3342729966461775,0.6548672566371682,0.6388888888888888,0.6607142857142857,0.6491228070175439,3,2493,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210519_federated_metrics.csv,
ResNet18,5,0.5,8,1,16,0.0001,4,0.9641025641025642,0.9782608695652172,0.9486607142857144,0.984375,0.0667473980922849,0.3291139240506329,0.5092592592592593,0.5909090909090909,0.2280701754385964,0,2467,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210542_federated_metrics.csv,
ResNet18,5,0.5,8,1,32,0.0001,3,0.9165209790209792,0.9565217391304348,0.8683035714285715,0.984375,0.1534985440666787,0.6379310344827587,0.6111111111111112,0.6271186440677966,0.6491228070175439,0,2481,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210605_federated_metrics.csv,
ResNet18,5,0.5,8,1,16,1e-05,3,0.861055611055611,0.9239130434782608,0.7790178571428571,0.9791666666666666,0.278913598264689,0.4146341463414634,0.5555555555555556,0.68,0.2982456140350877,0,2491,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210628_federated_metrics.csv,
ResNet18,5,0.5,8,1,32,1e-05,4,0.7998001998001998,0.8913043478260869,0.7217261904761905,0.9142857142857144,0.3369977697730064,0.5,0.5740740740740741,0.6571428571428571,0.4035087719298245,0,2472,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210651_federated_metrics.csv,
ResNet18,5,0.5,8,1,16,1e-06,4,0.403525641025641,0.7336956521739129,0.3191964285714285,0.6124999999999999,0.5164479992311933,0.48,0.5185185185185185,0.5581395348837209,0.4210526315789473,1,2485,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210715_federated_metrics.csv,
ResNet18,5,0.5,8,1,32,1e-06,0,0.3082051720209615,0.6032608695652174,0.3020833333333333,0.3393037518037518,0.6774752140045166,0.6019417475728155,0.6203703703703703,0.6739130434782609,0.543859649122807,0,2480,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210738_federated_metrics.csv,
ResNet18,5,0.5,8,1,16,1e-07,0,0.3915550558054306,0.3369565217391304,0.7276785714285716,0.2707219251336898,0.9002164035387661,0.6666666666666666,0.5185185185185185,0.5252525252525253,0.912280701754386,0,2543,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210801_federated_metrics.csv,
ResNet18,5,0.5,8,1,32,1e-07,0,0.4154046965676222,0.532608695652174,0.5394345238095238,0.3486482267732267,0.7423852607607841,0.675,0.5185185185185185,0.5242718446601942,0.9473684210526316,0,2497,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210824_federated_metrics.csv,
ResNet18,5,0.5,8,1,16,1e-08,3,0.4612161661104931,0.3043478260869565,0.9821428571428572,0.3021245059288537,1.3022086484276731,0.6951219512195121,0.5370370370370371,0.5327102803738317,1.0,0,1705,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210843_federated_metrics.csv,
ResNet18,5,0.5,8,1,32,1e-08,4,0.4454044117647059,0.592391304347826,0.5446428571428572,0.384090909090909,0.6984980404376984,0.6794871794871795,0.5370370370370371,0.5353535353535354,0.9298245614035088,0,2478,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210906_federated_metrics.csv,
ResNet18,5,0.5,8,1,16,1e-09,4,0.5529743337942624,0.5760869565217391,0.8764880952380952,0.4076970211161387,0.7369330661452335,0.6918238993710691,0.5462962962962963,0.5392156862745098,0.9649122807017544,0,2493,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210929_federated_metrics.csv,
ResNet18,5,0.5,8,1,32,1e-09,2,0.4052339901477833,0.2771739130434782,0.8430059523809523,0.2684923771880294,0.7312882244586945,0.2758620689655172,0.4166666666666667,0.4,0.2105263157894736,2,2510,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06210953_federated_metrics.csv,
ResNet18,5,1.0,8,1,16,0.01,1,0.2395161290322581,0.5108695652173914,0.5,0.6576086956521741,2.384031437337399,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,0,3194,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211023_federated_metrics.csv,
ResNet18,5,1.0,8,1,32,0.01,4,0.4658138672599184,0.3043478260869565,1.0,0.3043478260869565,0.7987028807401657,0.6909090909090909,0.5277777777777778,0.5277777777777778,1.0,1,3312,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211054_federated_metrics.csv,
ResNet18,5,1.0,8,1,16,0.001,4,0.8241039662092293,0.8858695652173912,0.8452380952380953,0.8645833333333333,0.284316310527451,0.672566371681416,0.6574074074074074,0.6785714285714286,0.6666666666666666,4,3235,C:\Users\DaisLabTSB\Desktop\mattia\githubdesktop\FLProject\csv\2106\06211125_federated_metrics.csv,
